	2012-11-07 04:51:02	Super Mario Bros. / Duck Hunt (Nintendo, 1988) USED NES CLASSIC GAMES FUN http://t.co/2WNvFaEU
nes_watcher	2012-11-10 00:03:32	NINTENDO GAMES Plus The Case Great Deal http://t.co/qwx91H5X
nes_watcher	2012-11-08 23:33:03	Nintendo Alfred Chicken NES Video Game http://t.co/sjydBOYO
nes_watcher	2012-11-03 15:47:17	Phantom Fighter (Nintendo) Nes http://t.co/KM5mlXeD
nes_watcher	2012-10-29 04:22:18	NES (Nintendo) Game Atlas Guide http://t.co/r7Fgu78H
nes_watcher	2012-10-26 16:39:05	Mr. Gimmick (Nintendo) NES http://t.co/aZRSFNyN
nes_watcher	2012-11-04 16:00:17	The Adventures of Link NES Nintendo Game http://t.co/SxbJiRF8
nes_watcher	2012-11-17 17:42:01	Metroid nintendo nes game only http://t.co/IdkSZ11s
nes_watcher	2012-11-12 01:47:06	Contra (Nintendo, 1988) Nes http://t.co/BAx3Iiy0
nes_watcher	2012-11-11 17:38:01	PRO WRESTLING - NES Nintendo Game http://t.co/R7OnBV9J
nes_watcher	2012-10-27 08:50:02	MEGA MAN WITH INSTRUCTIONS NINTENDO NES http://t.co/1uH9qtZS
nes_watcher	2012-11-06 04:04:02	SUPER MARIO BROS 2 NES VIDEO GAME http://t.co/6l1TslIF
nes_watcher	2012-11-06 18:02:24	Strider for Nintendo NES http://t.co/LMcGY3EZ
nes_watcher	2012-11-09 18:48:02	Super Team Games Original Nintendo NES Game http://t.co/PryJkQ4u
nes_watcher	2012-10-25 23:05:21	World Class Track Meet for Nintendo NES http://t.co/XXHRNckM
nes_watcher	2012-10-30 18:20:17	METROID - NES, Nintendo Game http://t.co/eElVgkYk
nes_watcher	2012-11-07 13:47:04	NES KARATE CHAMP GAME http://t.co/U7o0JMKE
nes_watcher	2012-10-31 10:21:33	Metroid for Nintendo NES http://t.co/Ofj0WYLv
nes_watcher	2012-11-01 16:40:17	TETRIS video game for the Nintendo NES system http://t.co/aluE4YeI
nes_watcher	2012-10-29 18:06:17	NINTENDO NES GAME BLASTER MASTER http://t.co/2uazfCds
nes_watcher	2012-11-07 14:25:32	NES Nintendo Punch-out the original in box http://t.co/5RRStfRx
nes_watcher	2012-11-14 21:12:02	GAME: EXODUS ULTIMA (NINTENDO) NES http://t.co/0X9BgFY6
nes_watcher	2012-11-04 03:17:17	THE LEGEND OF ZELDA NINTENDO NES GAME http://t.co/BjJeLIhz
nes_watcher	2012-10-27 10:41:17	Original Castlevania Nintendo NES Game http://t.co/DaAFP8mv
nes_watcher	2012-10-26 00:12:03	NES Game Solstice (Complete in the box) http://t.co/mOrGAGFV
nes_watcher	2012-10-27 02:25:17	operation secret storm for nintendo nes http://t.co/QMtryAWo
nes_watcher	2012-10-26 17:28:06	***SUPER GLOVE BALL NES NINTENDO GAME*** http://t.co/eoZL8TaO
nes_watcher	2012-11-10 14:21:34	NINTENDO NES LEGEND OF ZELDA http://t.co/HFaAgNRl
nes_watcher	2012-10-30 17:34:18	MEGA MAN 1 - Original NES Nintendo Game http://t.co/n5cdEeMD
nes_watcher	2012-11-08 14:11:17	Nintendo Star Wars NES BOX ONLY http://t.co/o2cLfq7a
nes_watcher	2012-11-11 16:33:32	Balloon Fight (3 screw) Nintendo NES http://t.co/BirqIfYw
nes_watcher	2012-10-31 23:12:07	Metroid (Nintendo NES, 1986) http://t.co/FDZ37Pmp
nes_watcher	2012-11-05 03:23:02	nintendo nes game the karate kid http://t.co/mWhiNguQ
nes_watcher	2012-10-31 09:17:03	ELITE nes nintendo PAL format http://t.co/wZRj2aPP
nes_watcher	2012-10-30 21:58:19	Nintendo NES Game TOP GUN with case http://t.co/zvVYkZgP
nes_watcher	2012-10-30 15:20:11	Metroid (Nintendo NES, 1986) http://t.co/aAumK9Eu
nes_watcher	2012-10-29 11:14:19	Baseball Nintendo NES 1985 video game http://t.co/NybyV8a1
nes_watcher	2012-10-31 15:44:17	Nintendo Game Tetris (Nintendo NES, ) http://t.co/FJuEBz6a
nes_watcher	2012-11-10 18:44:35	Disney Duck Tales for Nintendo NES http://t.co/v3QwF1lY
nes_watcher	2012-11-11 08:24:17	Mega Man 6 (Nintendo, 1994) nes http://t.co/EZBKaUXh
nes_watcher	2012-11-01 04:45:19	Contra Nintendo Nes Game 1985 http://t.co/vWHMaiGH
nes_watcher	2012-11-12 15:02:19	NES Tiny Toon Adventures Game http://t.co/CLYGSddM
nes_watcher	2012-11-10 23:28:10	WOW 6 SUPER NINTENDO NES GAMES LOOK LOOK LOOK http://t.co/8msaVVk9
nes_watcher	2012-11-10 00:35:02	The Legend of Zelda NES Nintendo http://t.co/8aV50xeb
nes_watcher	2012-11-21 01:57:02	ORIGINAL NINTENDO NES GAME &amp; SYSTEM STORAGE CASE!!! http://t.co/4wUtuMEh
nes_watcher	2012-11-04 13:11:17	LITTLE NINJA BROTHERS NES NINTENDO GAME http://t.co/cY3ingJ3
nes_watcher	2012-11-12 03:21:32	Super Mario Bros. 3 Nintendo Nes http://t.co/IwEIzbAx
nes_watcher	2012-11-12 14:30:02	A Nightmare on Elm Street Nintendo NES http://t.co/2gOxQSLO
nes_watcher	2012-10-29 05:01:18	Athletic World Original Nintendo NES Game http://t.co/ykZEqFn5
nes_watcher	2012-11-08 01:32:32	Pro Wrestling (Nintendo, NES) In Box http://t.co/U4wzUQus
nes_watcher	2012-11-07 16:34:10	Nintendo Game Tetris (Nintendo NES, ) http://t.co/Un1fH4jI
nes_watcher	2012-11-06 08:50:17	NINTENDO NES YOSHI CARTRIDGE ONLY http://t.co/nn9NSnsE
nes_watcher	2012-11-14 17:50:16	Wrestlemania - Nintendo NES Game only http://t.co/gv6CSu3v
nes_watcher	2012-11-21 11:27:05	RAMPAGE NINTENDO VIDEO GAME NES WORKS!!! http://t.co/ROkSryrI
nes_watcher	2012-11-11 08:24:32	Chaos World NES game music soundtrack http://t.co/NR0uSsGb
nes_watcher	2012-10-23 13:30:02	10 Nintendo Games http://t.co/yakjJGio #NES
nes_watcher	2012-10-31 11:37:55	NES VINTAGE GAME DR MARIO FUN, FUN GAME http://t.co/AStKcEVc
nes_watcher	2012-10-28 14:39:03	Metroid (Nintendo NES, 1986) http://t.co/gkNID3rP
nes_watcher	2012-11-06 04:40:03	Classic NES Nintendo Game Controller http://t.co/UE0bWDoh
nes_watcher	2012-11-09 04:30:02	Metroid (Nintendo NES, 1986) http://t.co/jgwb3jPe
nes_watcher	2012-11-02 23:09:33	Paperboy NES cartridge only Nintendo http://t.co/xKkBhi6T
nes_watcher	2012-11-11 04:25:32	Monopoly Nintendo NES Game + Box http://t.co/V6D5TuEo
nes_watcher	2012-11-14 17:12:32	Dr. Mario (Nintendo, 1990) NES game fun. http://t.co/42LpTlQu
nes_watcher	2012-10-27 20:06:33	Nes Contra (Nintendo, 1988) Tested http://t.co/xdR2P1ct
nes_watcher	2012-10-30 22:45:09	Super Mario Bros. 2 for Nintendo NES http://t.co/q0V0swNl
nes_watcher	2012-10-27 04:54:03	nes PUNCH-OUT nintendo game TESTED http://t.co/mFkqSofL
nes_watcher	2012-10-31 02:26:02	Nintendo NES game in box Friday the 13th http://t.co/2XXqkNQA
nes_watcher	2012-10-27 22:57:04	DRAGON WARRIOR II NINTENDO NES http://t.co/FB9H3OaG
nes_watcher	2012-10-27 08:15:04	DRAGON WARRIOR IV NINTENDO NES http://t.co/b7By12Ka
nes_watcher	2012-10-30 18:40:37	13 Nintendo NES Game Display Storage Cases http://t.co/lJJz4E7t
nes_watcher	2012-10-28 03:16:33	Mega Man 3 (Nintendo, 1990) NES http://t.co/gaCyLj9y
nes_watcher	2012-11-02 18:11:07	Super Team Games Original Nintendo NES Game http://t.co/9JRKDkhV
nes_watcher	2012-11-12 13:16:18	Nintendo NES Zelda and Link Gold http://t.co/narKiDQz
nes_watcher	2012-10-28 13:28:34	Blue Marlin (Nintendo, 1992) NES http://t.co/dpLYdIyQ
nes_watcher	2012-10-27 21:15:35	Final Fantasy (Nintendo, 1990) NES http://t.co/MUTvIeld
nes_watcher	2012-10-31 18:30:12	Duck Tales (Nintendo, 1989) NES http://t.co/jt1W5wki
nes_watcher	2012-11-02 12:58:10	Nintendo NES Play Action Football Game Cartridge!! http://t.co/aHZIvAff
nes_watcher	2012-10-26 20:09:08	Super Mario Bros. 3 (Nintendo, 1990) NES http://t.co/paxJjNIw
nes_watcher	2012-10-29 17:00:03	Nintendo NES with 5 games (mega man 3 included) http://t.co/8AArmRTL
nes_watcher	2012-10-29 06:18:03	Color A Dinosaur (Nintendo, 1993) NES http://t.co/32ngIYtF
nes_watcher	2012-10-30 20:53:05	Monopoly NES (Nintendo, 1991) game + Box http://t.co/r8XHaVYs
nes_watcher	2012-11-05 07:27:17	Gun-Nac (Nintendo, 1991) NES http://t.co/rKyNhbrI
nes_watcher	2012-11-16 06:30:01	Super Team Games Original Nintendo NES Game http://t.co/WQZ2sLwo
nes_watcher	2012-11-07 23:22:02	Nintendo Nes Games (6 Game Bundle Pack) http://t.co/tEMeSbTX
nes_watcher	2012-11-10 17:46:17	Swamp Thing Nintendo Nes Game Rare http://t.co/RB00kaRS
nes_watcher	2012-10-29 19:50:06	Nintendo NES CASTLEVANIA VS box only http://t.co/xUMNLqX0
nes_watcher	2012-11-03 04:48:02	Tom and Jerry (Nintendo) NES video game / FREE SHIPPING http://t.co/7vfiXPVx
nes_watcher	2012-11-04 01:39:18	Metroid (Nintendo NES, 1986) http://t.co/Z1KwihBX
nes_watcher	2012-10-31 20:48:02	The Legend Of Zelda NES Game Nintendo FUN GAME! http://t.co/i8qz5JHi
nes_watcher	2012-10-28 00:17:37	Nes Nintendo Game Yoshi And Dust Cover http://t.co/YoDj7kHI
nes_watcher	2012-11-19 09:01:39	Nintendo NES Game Dust Sleeve Cover http://t.co/mkUnosYE
nes_watcher	2012-10-28 19:16:17	Nintendo NES NARC Video Game http://t.co/hFjtdfez
nes_watcher	2012-11-02 15:45:03	Super C Nintendo NES Video Game Cartridge http://t.co/ssnh2feh
nes_watcher	2012-10-26 17:13:18	Tetris (Nintendo Nes, 1989) GAME ONLY http://t.co/XeJj22NN
nes_watcher	2012-10-26 00:12:03	Nintendo NES The Adventure of Link Video Game Tested http://t.co/JbSA8sgJ
nes_watcher	2012-10-31 04:39:17	Metroid (Nintendo NES, 1986) http://t.co/B71Fj0bI
nes_watcher	2012-11-08 16:55:04	Mega Man 3 NES (Nintendo, 1990) http://t.co/dpvqoxRl
nes_watcher	2012-11-12 21:22:32	Jurassic Park NES (Nintendo, 1993) http://t.co/D7pl8K7m
nes_watcher	2012-10-29 06:18:03	Nintendo NES Fire &#39;N Ice / Rare Game http://t.co/2WLAVYyV
nes_watcher	2012-11-01 00:51:02	Nintendo NES game blue plastic case http://t.co/soYpkRGY
nes_watcher	2012-10-26 19:06:34	Super Team Games Original Nintendo NES Game http://t.co/Y3K3kTZ5
nes_watcher	2012-10-26 18:20:12	Duck Tales (Nintendo, 1989) NES http://t.co/IE5968P7
nes_watcher	2012-10-31 06:18:25	+ Dragon Power (Nintendo) NES video game FREE SHIPPING + http://t.co/pN4Qw4qK
nes_watcher	2012-11-12 15:02:18	Nintendo NES SUPER MARIO BROS 1 3 LOOK http://t.co/QRvN88Qg
nes_watcher	2012-11-11 07:13:30	Total Recall NES Game near complete http://t.co/nH7BOW4I
nes_watcher	2012-11-14 03:54:02	Original Nintendo NES Game - METROID http://t.co/z0o6Wm6f
nes_watcher	2012-11-09 07:29:01	Ultima Exodus Nintendo NES Game http://t.co/aGkOOTgd
nes_watcher	2012-11-08 19:11:02	Paperboy NES cartridge only Nintendo http://t.co/uxtZUE63
nes_watcher	2012-10-30 14:46:05	Mega Man (Nintendo, NES 1987) http://t.co/JutjQHjM
nes_watcher	2012-11-08 16:22:17	Baseball Nintendo NES 1985 video game http://t.co/cNFsh2yQ
nes_watcher	2012-11-05 09:50:17	Ghostbusters II 2 (Nintendo) NES game / FREE SHIPPING http://t.co/vtP9oZJi
nes_watcher	2012-11-01 15:34:03	Impossible Mission II SEI Nintendo NES http://t.co/fVrIy6PX
nes_watcher	2012-11-07 05:23:34	Nintendo NES Super Mario Bros. 2 Complete http://t.co/2ZAMQm0Y
nes_watcher	2012-10-27 21:15:35	Balloon Fight (Nintendo, 1986) NES http://t.co/CnRrcOTY
nes_watcher	2012-11-06 10:38:23	MEGA MAN 2 - ORIGINAL NINTENDO NES VIDEO GAME! http://t.co/UQiCQQdR
nes_watcher	2012-11-03 23:26:01	Super Mario Brothers Trilogy (Nintendo NES) http://t.co/nlXzNFyQ
nes_watcher	2012-11-08 22:28:02	Nintendo Bubble Bobble NES Video Game http://t.co/rVpGWIlp
nes_watcher	2012-11-06 17:04:17	---CITY CONNECTION NES Nintendo Game Tested works http://t.co/5WqzL6z9
nes_watcher	2012-11-18 23:44:22	Iron Tank Nintendo NES Game **Cartridge Only** http://t.co/NjYble5S
nes_watcher	2012-11-16 17:09:05	RESCUE THE EMBASSY MISSION - NES Nintendo Game! http://t.co/RvZHpM16
nes_watcher	2012-11-02 03:52:33	JEOPARDY! - (Video Game for Nintendo NES) - Plays Great! http://t.co/XG17mrn8
nes_watcher	2012-10-26 21:15:03	mermaids of atlantis for nintendo nes http://t.co/rwQ8rLxp
nes_watcher	2012-10-26 08:12:04	Metroid (Nintendo NES, 1986) http://t.co/kJaFetet
nes_watcher	2012-11-08 11:57:34	NES Nintendo Contra with round nintendo seal http://t.co/ilgxBX7T
nes_watcher	2012-11-19 13:27:34	Gyromite NES nintendo game http://t.co/nlntBQhZ
nes_watcher	2012-11-08 10:51:33	Final Fantasy NES game in box with maps, book. http://t.co/QuwTyJ7G
nes_watcher	2012-11-05 02:47:01	Vintage Nintendo NES The Goonies II http://t.co/ArCJnD0w
nes_watcher	2012-11-02 07:16:02	Mega Man 5 (Nintendo, NES, 1992) http://t.co/ydADOi2E
nes_watcher	2012-10-28 05:38:17	Werewolf - Nintendo 8-bit NES - RARE http://t.co/8aDYT3Z2
nes_watcher	2012-10-31 22:36:18	Nes Nintendo Game . ( PinBall ) in Nice Condition , http://t.co/wFB5eRGc
nes_watcher	2012-11-07 18:16:02	NEW NINTENDO NES GAME CONTROLLER W/30 DAY GUARANTEE http://t.co/bTKyIRhM
nes_watcher	2012-10-29 01:25:07	Nintendo NES Super Mario Bros. 2 Game RARE http://t.co/qYsnEOCS
nes_watcher	2012-10-26 05:51:02	Sword Master NES (Nintendo, 1992) http://t.co/dSiHFfLs
nes_watcher	2012-10-28 02:36:07	NINTENDO NES SUPER MARIO BROS. 3 ~ In the Box http://t.co/A29hrcDp
nes_watcher	2012-10-31 01:19:04	Nintendo NES Game Commando *5 Screw* http://t.co/so9CkIhH
nes_watcher	2012-11-08 04:15:47	Nintendo NES SUPER MARIO BROTHERS VS box only http://t.co/7VHzUy2o
nes_watcher	2012-10-27 18:52:33	Paperboy Original Nintendo NES Game http://t.co/atkTIAkk
nes_watcher	2012-11-04 18:15:16	BLACK BASS NES Game Only Plays Great Tested http://t.co/k1vK3avN
nes_watcher	2012-10-26 23:29:05	Fisher Price: Perfect Fit Original Nintendo NES Game http://t.co/8Ri2jz97
nes_watcher	2012-10-30 06:51:02	Nintendo NES Games- SUPER MARIO BROTHERS 1,2 &amp;3 http://t.co/7uapLKlM
nes_watcher	2012-11-08 05:28:06	Original Nintendo NES Game - GOAL TWO SOCCER http://t.co/IKbjlXFt
nes_watcher	2012-10-27 21:47:33	ADVENTURES OF LOLO - NES, Nintendo Game http://t.co/oHmHPPQd
nes_watcher	2012-10-28 15:11:02	Mega Man 5 (Nintendo, 1992) NES Rare http://t.co/tkpNKv87
nes_watcher	2012-11-03 06:57:06	DOUBLE DRAGON - (Video Game for Nintendo NES) - Plays Great! http://t.co/XkzAnESu
nes_watcher	2012-10-25 23:38:39	Nintendo NES The Legend of Zelda Video Game Tested http://t.co/5m7QsJeJ
nes_watcher	2012-11-03 03:11:04	METROID - (Video Game for Nintendo NES) - Plays Great! http://t.co/w6DwaviO
nes_watcher	2012-10-30 14:46:05	Super Mario Brothers 2 SMB 2 NES Nintendo http://t.co/5Qmmx1g2
nes_watcher	2012-10-28 02:44:36	Nintendo NES Game Cartridge - ** THE LEGEND OF ZELDA ** http://t.co/UkVTaPkX
nes_watcher	2012-10-28 19:53:08	Contra 1 I Original Nintendo NES Shooter Game http://t.co/Yz4e4zbs
nes_watcher	2012-11-21 16:25:02	Paperboy (Nintendo, 1988) NES game! http://t.co/Lg6QIvGA
nes_watcher	2012-10-31 19:36:03	NES Star Trek 5: The Final Frontier Game! http://t.co/Dnia9Css
nes_watcher	2012-10-26 19:28:07	Nintendo NES WORLD CLASS TRACK MEET box only http://t.co/XHzn8k26
nes_watcher	2012-10-31 01:53:17	Nes Nintendo Game Contra And Dust Cover http://t.co/jyXoBkCn
nes_watcher	2012-11-12 19:10:02	Super NES Star Wars All 3 game Bundle http://t.co/Hfg7MlQb
nes_watcher	2012-10-29 09:17:16	Super NES Star Wars All 3 game Bundle http://t.co/nCUQ9tdQ
nes_watcher	2012-11-20 19:27:02	13 Nintendo NES Game Display Storage Cases http://t.co/48EdzEY7
nes_watcher	2012-10-28 06:12:17	Super Mario World Nintendo NES Video Game Cartridge http://t.co/L5Zxd61l
nes_watcher	2012-10-30 01:39:02	Adventures of Lolo (Nintendo, 1989) NES http://t.co/GhjU8LlD
nes_watcher	2012-11-14 22:22:17	NES (Nintendo) game genie code booklet http://t.co/ap4L2msc
nes_watcher	2012-11-15 17:00:17	World Class Track Meet Original Nintendo NES Game http://t.co/dEcFTVxV
nes_watcher	2012-10-30 00:00:04	Galactic Crusader (Nintendo, 1990) NES http://t.co/jdx9qKv0
nes_watcher	2012-10-30 17:13:34	The Legend of Zelda GOLD Video Game for Nintendo NES http://t.co/MIfpMAiv
nes_watcher	2012-10-27 02:57:18	Miracle Piano Teaching System NINTENDO NES GAME http://t.co/gPkW8ywu
nes_watcher	2012-10-29 05:34:39	Mighty Final Fight (Nintendo, 1993) NES http://t.co/HX5XyD7L
nes_watcher	2012-11-15 06:28:16	NES Nintendo Fester Quest game only http://t.co/q6BNZ7Jo
nes_watcher	2012-10-28 23:36:18	Nintendo NES - Devil World (Famicom) Game http://t.co/e5M5FwDv
nes_watcher	2012-10-27 21:47:32	Spiritual Warfare Nintendo NES Video Game Cartridge http://t.co/28rmo6BN
nes_watcher	2012-11-03 00:21:02	Xevious (Nintendo) NES Game Only http://t.co/c8BK5QV6
nes_watcher	2012-11-08 04:48:17	Mach Rider (Nintendo, NES) Complete in Box http://t.co/njp0myeA
nes_watcher	2012-10-31 19:36:17	Nintendo OFFICIAL NES Game Dust Sleeve Cover http://t.co/o4Rak4fv
nes_watcher	2012-11-05 16:11:08	DRAGON WARRIOR 4 IV - NES, Nintendo Game http://t.co/xnYfVXbh
nes_watcher	2012-11-13 08:57:02	Golf (Nintendo, 1986) NES Video game very fun http://t.co/DVK2Vv48
nes_watcher	2012-10-30 02:44:03	Nintendo NES Snow Brothers Rare Game with Box http://t.co/D3jInBpu
nes_watcher	2012-11-05 23:39:32	Super Mario Bros. 3 III (Nintendo) NES video game http://t.co/bK4JviPJ
nes_watcher	2012-10-26 03:32:18	GAME GENIE FOR THE NES Nintendo &quot;TESTED&quot; WORKS http://t.co/OJnPditQ
nes_watcher	2012-10-31 10:21:33	NINTENDO NES VINTAGE GAME &quot;DR. MARIO&quot; FUN GAME................. http://t.co/ZCv5YGh9
nes_watcher	2012-11-01 03:07:33	Nintendo NES CASTLEVANIA VS box only http://t.co/Er6AIqre
nes_watcher	2012-10-27 13:33:23	Kung Fu (Nintendo, 1985) NES VIDEO GAME http://t.co/j36dPOpv
nes_watcher	2012-11-03 04:16:36	NINTENDO NES GAMES---2 SUPER MARIO 3 AND DR. MARIO http://t.co/NI7vdm5G
nes_watcher	2012-10-27 15:26:33	STAR TREK: 25TH ANNIVERSARY - NES, Nintendo Game http://t.co/m2cn1ayW
nes_watcher	2012-11-05 06:16:32	Skate or Die Nintendo NES Game w/manual http://t.co/nEmOu36A
nes_watcher	2012-11-02 06:42:32	Nintendo (NES) Game System Bundle With Games &amp; Access http://t.co/4gi9u5FA
nes_watcher	2012-10-31 02:59:33	The Goonies II NES Nintendo Entertainment System Video Game http://t.co/IH66SJsq
nes_watcher	2012-10-25 23:05:20	Nintendo NES - Banana Prince - Game Reproduction http://t.co/TWW7a8mW
nes_watcher	2012-11-20 00:38:01	Nintendo Entertainment System (NES) Game &amp; Merchandise Bundle http://t.co/tmtA112l
nes_watcher	2012-11-19 09:33:02	Nintendo OFFICIAL NES Game Dust Sleeve Cover http://t.co/GdbcrzTz
nes_watcher	2012-11-10 09:27:17	Super Mario Bros. 1-3 Nes (Nintendo, 1990) http://t.co/hFYcVGCw
nes_watcher	2012-11-03 19:05:17	Batman: The Video Game Nintendo NES 1990 CLEAN http://t.co/EmQU49X4
nes_watcher	2012-11-03 16:53:33	Nintendo NES Cleaning Cartridge Tool FAST SHIPPING http://t.co/WSLeKcCE
nes_watcher	2012-11-10 07:12:01	Super Mario Bros. 1,2,3. For Nintendo Nes. http://t.co/R4ClO9ab
nes_watcher	2012-10-28 05:38:17	Willow - Nintendo 8-bit NES - RARE http://t.co/BD96svlK
nes_watcher	2012-10-28 22:59:17	Nintendo NES Super Mario Bros. 3 Game RARE http://t.co/OAPtknUc
nes_watcher	2012-11-04 21:11:33	*** LEGEND OF ZELDA Nintendo NES Game MAP ONLY *** http://t.co/I4YOekoh
nes_watcher	2012-11-12 19:10:02	NINTENDO NES-005 GRAY ZAPPER http://t.co/IIXEYMuJ
nes_watcher	2012-10-27 17:04:05	Jackal Nes game with box and instructions http://t.co/GctKfnRq
nes_watcher	2012-10-29 17:34:18	SUPER MARIO BROS. 2 - ORIGINAL NINTENDO NES VIDEO GAME! http://t.co/nN3XuSVp
nes_watcher	2012-10-29 04:22:17	adventure island 3 rare original nintendo nes http://t.co/HMPHZGac
nes_watcher	2012-10-31 00:30:16	WOW 6 SUPER NINTENDO NES GAMES LOOK LOOK LOOK http://t.co/uGlGk8k8
nes_watcher	2012-10-29 21:01:33	nintendo nes legend of zelda nib http://t.co/aU38bv7G
nes_watcher	2012-11-10 07:12:01	SUPER MARIO BROTHERS &amp; DUCK HUNT - NES Nintendo Game! http://t.co/rXYSYQc9
nes_watcher	2012-11-05 00:00:03	SUPER MARIO BROTHERS DUCK HUNT NINTENDO NES GAME http://t.co/4Nx9ICUs
nes_watcher	2012-10-29 19:50:07	Nintendo NES EARTHBOUND BOX AND MANUAL only http://t.co/IgqaRbrC
nes_watcher	2012-11-20 01:11:01	James Bond Jr. (Nintendo, 1991) RARE NES GAME! http://t.co/c3glIMOI
nes_watcher	2012-11-02 06:42:32	NINTENDO LEGEND OF ZELDA NES GAME CART http://t.co/u90MF5xD
nes_watcher	2012-11-07 21:06:06	Nintendo NES game tested - Marble Madness http://t.co/Xm3ST5JH
nes_watcher	2012-10-27 20:38:17	Destiny of an Emperor NES Nintendo Game W/ Box! http://t.co/SZ1Dyerr
nes_watcher	2012-11-06 00:12:33	Nintendo Entertainment System (NES) Game &amp; Merchandise Bundle http://t.co/4tcsG1QP
nes_watcher	2012-10-30 06:18:05	ZELDA II THE ADVENTURE OF LINK GAME NES ORIGINAL NINTENDO http://t.co/me9wZi3K
nes_watcher	2012-10-30 06:18:05	ZELDA II THE ADVENTURE OF LINK GAME NES ORIGINAL NINTENDO http://t.co/d2sZizVd
nes_watcher	2012-11-03 05:22:03	NINTENDO NES SNOW BROTHERS GAME (VERY FUN)!!!! RARE RARE http://t.co/l5zQHiRn
nes_watcher	2012-10-30 05:09:40	Super Mario Bros. 2 (Nintendo, 1988) RARE NES http://t.co/hUb9NGGj
nes_watcher	2012-10-28 19:16:16	NES Nintendo 8 BIT Game - Archon with book http://t.co/7JsiNENr
nes_watcher	2012-11-06 13:00:02	Kid Icarus (Nintendo, 1987) Nes Nintendo http://t.co/bNsZFnjW
nes_watcher	2012-10-27 22:57:04	Dr. Mario (Nintendo, 1990) NES cartridge only http://t.co/jCysGfsL
